,compare,frequency,seed,human_seed,updates,utility,position
0,position,5,1111,100,199,0.0110999999999999,3.267153937
1,position,10,1111,100,99,0.0234,6.699343893000004
2,position,20,1111,100,49,0.0377000000000002,13.228325986000014
3,position,25,1111,100,39,0.0489000000000003,16.321401996000006
4,position,30,1111,100,33,0.0412000000000002,18.430658330999982
5,position,35,1111,100,28,0.0625000000000004,21.450444663999992
6,position,40,1111,100,24,0.0677000000000002,26.149146612000006
7,position,45,1111,100,22,0.0671000000000004,28.32668482000003
8,position,50,1111,100,19,0.0687000000000003,30.50225642099999
9,position,55,1111,100,18,0.0673000000000002,31.58551060500001
10,position,60,1111,100,16,0.0599000000000004,34.48668894300001
11,position,65,1111,100,15,0.0775000000000001,40.090736391999926
12,position,70,1111,100,14,0.0805,34.06547134599999
13,position,75,1111,100,13,0.0891999999999996,42.03619277600004
14,position,80,1111,100,12,0.0932999999999997,41.12276823199996
15,position,90,1111,100,11,0.0898999999999997,42.90255000899995
16,position,100,1111,100,9,0.0882000000000001,46.18125737400001
17,position,5,2222,100,199,0.0097999999999999,3.0502591259999985
18,position,10,2222,100,99,0.023,6.157665954000006
19,position,20,2222,100,49,0.0366000000000001,12.14876001800001
20,position,25,2222,100,39,0.0428000000000002,15.285272753999989
21,position,30,2222,100,33,0.0383000000000001,17.007554169000013
22,position,35,2222,100,28,0.0566000000000004,19.72859174099999
23,position,40,2222,100,24,0.0614000000000003,23.58528667800002
24,position,45,2222,100,22,0.0585000000000003,25.81766168
25,position,50,2222,100,19,0.0614000000000003,27.383011905
26,position,55,2222,100,18,0.0672000000000003,29.201911833999983
27,position,60,2222,100,16,0.0627000000000004,31.968433400000027
28,position,65,2222,100,15,0.0729000000000001,36.973418226
29,position,70,2222,100,14,0.0703000000000002,32.383030567
30,position,75,2222,100,13,0.0705000000000002,37.49331449400001
31,position,80,2222,100,12,0.0852999999999998,37.46414618299999
32,position,90,2222,100,11,0.0914999999999998,38.43132578100005
33,position,100,2222,100,9,0.0777000000000002,42.320236978
