,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,keep_knowledge,0.054166599999999995,1111,100,6,56,100
1,keep_knowledge,0.075,2222,100,6,56,100
2,keep_knowledge,0.0875,4444,100,6,56,100
3,keep_knowledge,0.05,5555,100,6,56,100
4,keep_knowledge,0.0374999,6666,100,6,56,100
5,keep_knowledge,0.1166666,7777,100,6,56,100
6,keep_knowledge,0.0416666,8888,100,6,56,100
7,keep_knowledge,0.03333325,9999,100,6,56,100
8,keep_knowledge,0.08749985,12345,100,6,56,100
9,keep_knowledge,0.06249994999999999,67890,100,6,56,100
10,clear_knowledge,0.0458333,1111,100,6,56,100
11,clear_knowledge,0.18333325000000003,2222,100,6,56,100
12,clear_knowledge,0.16666660000000003,4444,100,6,56,100
13,clear_knowledge,0.1625,5555,100,6,56,100
14,clear_knowledge,0.0374999,6666,100,6,56,100
15,clear_knowledge,0.17083330000000002,7777,100,6,56,100
16,clear_knowledge,0.0416666,8888,100,6,56,100
17,clear_knowledge,0.03333325,9999,100,6,56,100
18,clear_knowledge,0.1083333,12345,100,6,56,100
19,clear_knowledge,0.054166650000000004,67890,100,6,56,100
20,xxx,0.04999995,1111,100,6,56,100
21,xxx,0.09999995000000002,2222,100,6,56,100
22,xxx,0.08749995000000002,4444,100,6,56,100
23,xxx,0.0791667,5555,100,6,56,100
24,xxx,0.0374999,6666,100,6,56,100
25,xxx,0.08749994999999999,7777,100,6,56,100
26,xxx,0.0416666,8888,100,6,56,100
27,xxx,0.03333325,9999,100,6,56,100
28,xxx,0.06666654999999999,12345,100,6,56,100
29,xxx,0.06666659999999999,67890,100,6,56,100
30,keep_knowledge,0.054166599999999995,1111,100,44,94,100
31,keep_knowledge,0.012499950000000001,2222,100,44,94,100
32,keep_knowledge,0.04583335,4444,100,44,94,100
33,keep_knowledge,0.033333299999999996,5555,100,44,94,100
34,keep_knowledge,0.033333299999999996,6666,100,44,94,100
35,keep_knowledge,0.0416667,7777,100,44,94,100
36,keep_knowledge,0.029166600000000004,8888,100,44,94,100
37,keep_knowledge,0.05416670000000001,9999,100,44,94,100
38,keep_knowledge,0.033333299999999996,12345,100,44,94,100
39,keep_knowledge,0.050000050000000004,67890,100,44,94,100
40,clear_knowledge,0.029166599999999997,1111,100,44,94,100
41,clear_knowledge,0.012499950000000001,2222,100,44,94,100
42,clear_knowledge,0.04583335,4444,100,44,94,100
43,clear_knowledge,0.033333299999999996,5555,100,44,94,100
44,clear_knowledge,0.033333299999999996,6666,100,44,94,100
45,clear_knowledge,0.0416667,7777,100,44,94,100
46,clear_knowledge,0.07499995000000004,8888,100,44,94,100
47,clear_knowledge,0.05416670000000001,9999,100,44,94,100
48,clear_knowledge,0.0416667,12345,100,44,94,100
49,clear_knowledge,0.050000050000000004,67890,100,44,94,100
50,xxx,0.029166599999999997,1111,100,44,94,100
51,xxx,0.0375,2222,100,44,94,100
52,xxx,0.04583335,4444,100,44,94,100
53,xxx,0.033333299999999996,5555,100,44,94,100
54,xxx,0.033333299999999996,6666,100,44,94,100
55,xxx,0.0416667,7777,100,44,94,100
56,xxx,0.07499995000000004,8888,100,44,94,100
57,xxx,0.05416670000000001,9999,100,44,94,100
58,xxx,0.00833335,12345,100,44,94,100
59,xxx,0.050000050000000004,67890,100,44,94,100
60,keep_knowledge,0.033333249999999995,1111,100,94,144,100
61,keep_knowledge,0.04166655,2222,100,94,144,100
62,keep_knowledge,0.033333249999999995,4444,100,94,144,100
63,keep_knowledge,0.02083325,5555,100,94,144,100
64,keep_knowledge,0.029166550000000003,6666,100,94,144,100
65,keep_knowledge,0.029166550000000003,7777,100,94,144,100
66,keep_knowledge,0.05833320000000001,8888,100,94,144,100
67,keep_knowledge,0.0416666,9999,100,94,144,100
68,keep_knowledge,0.041666550000000004,12345,100,94,144,100
69,keep_knowledge,0.029166550000000003,67890,100,94,144,100
70,clear_knowledge,0.045833250000000006,1111,100,94,144,100
71,clear_knowledge,0.037499899999999996,2222,100,94,144,100
72,clear_knowledge,0.04999985,4444,100,94,144,100
73,clear_knowledge,0.02499995,5555,100,94,144,100
74,clear_knowledge,0.04166655,6666,100,94,144,100
75,clear_knowledge,0.04166655,7777,100,94,144,100
