,time,utility
0,271.0,0.2
1,272.0,0.2
2,273.0,0.3
3,274.0,0.3
4,275.0,0.3
5,276.0,0.3
6,277.0,0.3
7,278.0,0.3
8,279.0,0.3
9,280.0,0.3
10,281.0,0.3
11,282.0,0.3
12,283.0,0.3
13,284.0,0.3
14,285.0,0.3
15,286.0,0.3
16,287.0,0.3
17,288.0,0.3
18,289.0,0.3
19,290.0,0.2
20,291.0,0.2
21,292.0,0.2
22,293.0,0.2
23,294.0,0.2
24,295.0,0.2
25,296.0,0.2
26,297.0,0.4
27,298.0,0.4
28,299.0,0.4
29,300.0,0.4
30,301.0,0.4
31,302.0,0.4
32,303.0,0.4
33,304.0,0.4
34,305.0,0.3
35,306.0,0.2
36,307.0,0.2
37,308.0,0.2
38,309.0,0.2
39,310.0,0.2
40,311.0,0.2
41,312.0,0.2
42,313.0,0.2
43,314.0,0.2
44,315.0,0.2
45,316.0,0.2
46,317.0,0.2
47,318.0,0.2
48,319.0,0.1
49,320.0,0.1
50,321.0,0.1
51,322.0,0.1
52,323.0,0.1
53,324.0,0.1
54,325.0,0.1
55,326.0,0.1
56,327.0,0.1
57,328.0,0.1
58,329.0,0.1
59,330.0,0.1
60,331.0,0.1
61,332.0,0.1
62,333.0,0.1
63,334.0,0.1
64,335.0,0.2
65,336.0,0.3
66,337.0,0.3
67,338.0,0.4
68,339.0,0.4
69,340.0,0.6
70,341.0,0.6
71,342.0,0.5
72,343.0,0.5
73,344.0,0.5
74,345.0,0.5
75,346.0,0.4
76,347.0,0.2
77,348.0,0.2
78,349.0,0.2
79,350.0,0.2
80,351.0,0.2
81,352.0,0.3
82,353.0,0.3
83,354.0,0.3
84,355.0,0.3
85,356.0,0.3
86,357.0,0.3
87,358.0,0.4
88,359.0,0.4
89,360.0,0.3
90,361.0,0.3
91,362.0,0.3
92,363.0,0.2
93,364.0,0.2
94,365.0,0.2
95,366.0,0.2
96,367.0,0.2
97,368.0,0.2
98,369.0,0.2
99,370.0,0.2
100,371.0,0.1
101,372.0,0.1
102,373.0,0.1
103,374.0,0.1
104,375.0,0.1
105,376.0,0.2
106,377.0,0.2
107,378.0,0.2
108,379.0,0.2
109,380.0,0.3
110,381.0,0.4
111,382.0,0.3
112,383.0,0.4
113,384.0,0.3
114,385.0,0.4
115,386.0,0.4
116,387.0,0.3
117,388.0,0.4
118,389.0,0.3
119,390.0,0.3
120,391.0,0.6
121,392.0,0.6
122,393.0,0.6
123,394.0,0.5
124,395.0,0.5
125,396.0,0.5
126,397.0,0.5
127,398.0,0.5
128,399.0,0.5
129,400.0,0.5
130,401.0,0.6
131,402.0,0.6
132,403.0,0.6
133,404.0,0.5
134,405.0,0.6
135,406.0,0.6
136,407.0,0.6
137,408.0,0.5
138,409.0,0.5
139,410.0,0.4
140,411.0,0.4
141,412.0,0.3
142,413.0,0.4
143,414.0,0.4
144,415.0,0.5
145,416.0,0.5
146,417.0,0.5
147,418.0,0.6
148,419.0,0.6
149,420.0,0.6
