time,utility
1.0,0.4
2.0,0.4
3.0,0.2
4.0,0.4
5.0,0.5
6.0,0.5
7.0,0.4
8.0,0.3
9.0,0.4
10.0,0.4
11.0,0.4
12.0,0.5
13.0,0.4
14.0,0.4
15.0,0.4
16.0,0.3
17.0,0.3
18.0,0.4
19.0,0.5
20.0,0.6
21.0,0.6
22.0,0.6
23.0,0.7
24.0,0.7
25.0,0.7
26.0,0.7
27.0,0.7
28.0,0.7
29.0,0.7
30.0,0.7
31.0,0.7
32.0,0.7
33.0,0.7
34.0,0.7
35.0,0.7
36.0,0.5
37.0,0.6
38.0,0.7
39.0,0.7
40.0,0.7
41.0,0.7
42.0,0.7
43.0,0.8
44.0,0.8
45.0,0.7
46.0,0.7
47.0,0.7
48.0,0.5
49.0,0.5
50.0,0.5
51.0,0.5
52.0,0.5
53.0,0.4
54.0,0.5
55.0,0.5
56.0,0.5
57.0,0.6
58.0,0.6
59.0,0.6
60.0,0.7
61.0,0.6
62.0,0.6
63.0,0.6
64.0,0.6
65.0,0.6
66.0,0.7
67.0,0.6
68.0,0.6
69.0,0.6
70.0,0.6
71.0,0.6
72.0,0.6
73.0,0.6
74.0,0.6
75.0,0.5
76.0,0.6
77.0,0.6
78.0,0.6
79.0,0.6
80.0,0.5
81.0,0.5
82.0,0.5
83.0,0.6
84.0,0.6
85.0,0.6
86.0,0.6
87.0,0.6
88.0,0.7
89.0,0.7
90.0,0.6
91.0,0.6
92.0,0.6
93.0,0.6
94.0,0.5
95.0,0.5
96.0,0.5
97.0,0.4
98.0,0.4
99.0,0.4
100.0,0.4
101.0,0.4
102.0,0.4
103.0,0.4
104.0,0.4
105.0,0.4
106.0,0.4
107.0,0.5
108.0,0.5
109.0,0.5
110.0,0.5
111.0,0.6
112.0,0.5
113.0,0.5
114.0,0.5
115.0,0.4
116.0,0.4
117.0,0.3
118.0,0.3
119.0,0.3
120.0,0.3
121.0,0.3
122.0,0.3
123.0,0.3
124.0,0.3
125.0,0.3
126.0,0.3
127.0,0.5
128.0,0.5
129.0,0.5
130.0,0.6
131.0,0.6
132.0,0.6
133.0,0.9
134.0,0.9
135.0,0.9
136.0,0.9
137.0,0.9
138.0,0.9
139.0,0.8
140.0,0.8
141.0,0.8
142.0,0.7
143.0,0.6
144.0,0.6
145.0,0.6
146.0,0.6
147.0,0.8
148.0,0.8
149.0,0.8
150.0,0.8
151.0,0.8
152.0,0.7
153.0,0.7
154.0,0.7
155.0,0.6
156.0,0.6
157.0,0.6
158.0,0.4
159.0,0.4
160.0,0.5
161.0,0.5
162.0,0.5
163.0,0.5
164.0,0.5
165.0,0.3
166.0,0.3
167.0,0.3
168.0,0.3
169.0,0.3
170.0,0.2
171.0,0.2
172.0,0.2
173.0,0.2
174.0,0.2
175.0,0.2
176.0,0.2
177.0,0.2
178.0,0.2
179.0,0.3
180.0,0.3
181.0,0.3
182.0,0.3
183.0,0.2
184.0,0.3
185.0,0.3
186.0,0.4
187.0,0.5
188.0,0.5
189.0,0.5
190.0,0.5
191.0,0.4
192.0,0.3
193.0,0.3
194.0,0.3
195.0,0.3
196.0,0.5
197.0,0.5
198.0,0.5
199.0,0.5
200.0,0.5
201.0,0.6
202.0,0.6
203.0,0.6
204.0,0.6
205.0,0.6
206.0,0.5
207.0,0.6
208.0,0.5
209.0,0.4
210.0,0.5
211.0,0.6
212.0,0.6
213.0,0.6
214.0,0.5
215.0,0.5
216.0,0.4
217.0,0.4
218.0,0.4
219.0,0.3
220.0,0.2
221.0,0.2
222.0,0.2
223.0,0.3
224.0,0.3
225.0,0.3
226.0,0.3
227.0,0.3
228.0,0.3
229.0,0.2
230.0,0.2
231.0,0.2
232.0,0.3
233.0,0.3
234.0,0.3
235.0,0.3
236.0,0.3
237.0,0.3
238.0,0.3
239.0,0.4
240.0,0.4
241.0,0.4
242.0,0.4
243.0,0.4
244.0,0.4
245.0,0.3
246.0,0.3
247.0,0.3
248.0,0.3
249.0,0.4
250.0,0.5
251.0,0.5
252.0,0.5
253.0,0.5
254.0,0.5
255.0,0.5
256.0,0.4
257.0,0.5
258.0,0.5
259.0,0.5
260.0,0.5
261.0,0.5
262.0,0.4
263.0,0.4
264.0,0.3
265.0,0.3
266.0,0.3
267.0,0.3
268.0,0.3
269.0,0.3
270.0,0.3
271.0,0.2
272.0,0.2
273.0,0.3
274.0,0.3
275.0,0.3
276.0,0.3
277.0,0.3
278.0,0.3
279.0,0.3
280.0,0.3
281.0,0.3
282.0,0.3
283.0,0.3
284.0,0.3
285.0,0.3
286.0,0.3
287.0,0.3
288.0,0.3
289.0,0.2
290.0,0.2
291.0,0.2
292.0,0.2
293.0,0.2
294.0,0.2
295.0,0.2
296.0,0.2
297.0,0.2
298.0,0.4
299.0,0.4
300.0,0.4
301.0,0.4
302.0,0.4
303.0,0.4
304.0,0.4
305.0,0.3
306.0,0.2
307.0,0.2
308.0,0.2
309.0,0.2
310.0,0.3
311.0,0.3
312.0,0.3
313.0,0.2
314.0,0.2
315.0,0.2
316.0,0.2
317.0,0.2
318.0,0.1
319.0,0.1
320.0,0.1
321.0,0.1
322.0,0.1
323.0,0.1
324.0,0.1
325.0,0.1
326.0,0.1
327.0,0.1
328.0,0.1
329.0,0.1
330.0,0.1
331.0,0.1
332.0,0.1
333.0,0.1
334.0,0.3
335.0,0.3
336.0,0.3
337.0,0.3
338.0,0.6
339.0,0.5
340.0,0.5
341.0,0.5
342.0,0.4
343.0,0.4
344.0,0.4
345.0,0.4
346.0,0.4
347.0,0.4
348.0,0.4
349.0,0.4
350.0,0.4
351.0,0.4
352.0,0.5
353.0,0.5
354.0,0.5
355.0,0.5
356.0,0.5
357.0,0.5
358.0,0.5
359.0,0.4
360.0,0.3
361.0,0.3
362.0,0.4
363.0,0.4
364.0,0.3
365.0,0.4
366.0,0.4
367.0,0.3
368.0,0.3
369.0,0.4
370.0,0.3
371.0,0.2
372.0,0.2
373.0,0.2
374.0,0.2
375.0,0.2
376.0,0.2
377.0,0.2
378.0,0.3
379.0,0.3
380.0,0.4
381.0,0.4
382.0,0.4
383.0,0.3
384.0,0.3
385.0,0.3
386.0,0.3
387.0,0.3
388.0,0.3
389.0,0.3
390.0,0.2
391.0,0.4
392.0,0.4
393.0,0.5
394.0,0.4
395.0,0.4
396.0,0.5
397.0,0.4
398.0,0.4
399.0,0.4
400.0,0.3
401.0,0.3
402.0,0.3
403.0,0.3
404.0,0.3
405.0,0.4
406.0,0.4
407.0,0.4
408.0,0.4
409.0,0.4
410.0,0.5
411.0,0.5
412.0,0.4
413.0,0.4
414.0,0.4
415.0,0.4
416.0,0.4
417.0,0.4
418.0,0.4
419.0,0.4
420.0,0.4
421.0,0.4
422.0,0.4
423.0,0.4
424.0,0.5
425.0,0.4
426.0,0.4
427.0,0.6
428.0,0.6
429.0,0.6
430.0,0.6
431.0,0.6
432.0,0.6
433.0,0.7
434.0,0.7
435.0,0.7
436.0,0.7
437.0,0.6
438.0,0.6
439.0,0.6
440.0,0.8
441.0,0.8
442.0,0.8
443.0,0.7
444.0,0.7
445.0,0.7
446.0,0.7
447.0,0.7
448.0,0.7
449.0,0.7
450.0,0.7
451.0,0.6
452.0,0.6
453.0,0.6
454.0,0.5
455.0,0.5
456.0,0.4
457.0,0.4
458.0,0.4
459.0,0.3
460.0,0.3
461.0,0.3
462.0,0.2
463.0,0.2
464.0,0.2
465.0,0.2
466.0,0.2
467.0,0.2
468.0,0.3
469.0,0.3
470.0,0.4
471.0,0.4
472.0,0.5
473.0,0.5
474.0,0.5
475.0,0.4
476.0,0.4
477.0,0.4
478.0,0.3
479.0,0.3
480.0,0.3
481.0,0.4
482.0,0.3
483.0,0.4
484.0,0.3
485.0,0.5
486.0,0.5
487.0,0.5
488.0,0.4
489.0,0.4
490.0,0.3
491.0,0.4
492.0,0.4
493.0,0.5
494.0,0.6
495.0,0.6
496.0,0.6
497.0,0.6
498.0,0.6
499.0,0.6
500.0,0.6
501.0,0.5
502.0,0.4
503.0,0.4
504.0,0.4
505.0,0.4
506.0,0.3
507.0,0.3
508.0,0.3
509.0,0.3
510.0,0.3
511.0,0.3
512.0,0.2
513.0,0.1
514.0,0.2
515.0,0.3
516.0,0.3
517.0,0.2
518.0,0.2
519.0,0.2
520.0,0.3
521.0,0.4
522.0,0.4
523.0,0.5
524.0,0.5
525.0,0.5
526.0,0.5
527.0,0.6
528.0,0.5
529.0,0.4
530.0,0.3
531.0,0.3
532.0,0.3
533.0,0.2
534.0,0.2
535.0,0.3
