,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,xxx,0.11166658000000002,1111,60,6,56,100
1,xxx,0.10999991999999997,2222,60,6,56,100
2,xxx,0.11166665999999996,4444,60,6,56,100
3,xxx,0.16666668,5555,60,6,56,100
4,xxx,0.14166666000000006,6666,60,6,56,100
5,xxx,0.16999997999999997,7777,60,6,56,100
6,xxx,0.13666662000000002,8888,60,6,56,100
7,xxx,0.13999996,9999,60,6,56,100
8,xxx,0.12166657999999998,12345,60,6,56,100
9,xxx,0.12666667999999998,67890,60,6,56,100
10,xxx,0.16833331999999998,1111,60,44,94,100
11,xxx,0.11666662000000003,2222,60,44,94,100
12,xxx,0.06166654000000002,4444,60,44,94,100
13,xxx,0.06499990000000003,5555,60,44,94,100
14,xxx,0.09666662000000002,6666,60,44,94,100
15,xxx,0.09999996000000001,7777,60,44,94,100
16,xxx,0.08833326,8888,60,44,94,100
17,xxx,0.07499996,9999,60,44,94,100
18,xxx,0.18499996,12345,60,44,94,100
19,xxx,0.14500002,67890,60,44,94,100
20,xxx,0.11166662,1111,60,94,144,100
21,xxx,0.1916667,2222,60,94,144,100
22,xxx,0.19166674,4444,60,94,144,100
23,xxx,0.16666670000000003,5555,60,94,144,100
24,xxx,0.15666674000000003,6666,60,94,144,100
25,xxx,0.21333340000000006,7777,60,94,144,100
26,xxx,0.15333344000000002,8888,60,94,144,100
27,xxx,0.20166670000000003,9999,60,94,144,100
28,xxx,0.18500006,12345,60,94,144,100
29,xxx,0.2316667,67890,60,94,144,100
30,xxx,0.09666659999999996,1111,60,99,149,100
31,xxx,0.17833331999999996,2222,60,99,149,100
32,xxx,0.19166667999999995,4444,60,99,149,100
33,xxx,0.12833328,5555,60,99,149,100
34,xxx,0.16500008000000002,6666,60,99,149,100
35,xxx,0.18499997999999995,7777,60,99,149,100
36,xxx,0.18333329999999998,8888,60,99,149,100
37,xxx,0.10666653999999998,9999,60,99,149,100
38,xxx,0.19666668,12345,60,99,149,100
39,xxx,0.10999993999999999,67890,60,99,149,100
40,xxx,0.06999996000000001,1111,60,104,154,100
41,xxx,0.195,2222,60,104,154,100
42,xxx,0.17999997999999995,4444,60,104,154,100
43,xxx,0.17500001999999995,5555,60,104,154,100
44,xxx,0.16500003999999996,6666,60,104,154,100
45,xxx,0.20333338,7777,60,104,154,100
46,xxx,0.17000006000000004,8888,60,104,154,100
47,xxx,0.06999990000000003,9999,60,104,154,100
48,xxx,0.07166660000000002,12345,60,104,154,100
49,xxx,0.08833326,67890,60,104,154,100
50,xxx,0.10499995999999999,1111,60,159,209,100
51,xxx,0.11166659999999999,2222,60,159,209,100
52,xxx,0.08333331999999999,4444,60,159,209,100
53,xxx,0.09333328,5555,60,159,209,100
54,xxx,0.09999994,6666,60,159,209,100
55,xxx,0.09833328,7777,60,159,209,100
56,xxx,0.11999997999999999,8888,60,159,209,100
57,xxx,0.08166662000000001,9999,60,159,209,100
58,xxx,0.16333335999999998,12345,60,159,209,100
59,xxx,0.1233332,67890,60,159,209,100
60,xxx,0.08833321999999999,1111,60,163,213,100
61,xxx,0.12499997999999996,2222,60,163,213,100
62,xxx,0.08333326000000002,4444,60,163,213,100
63,xxx,0.08166665999999999,5555,60,163,213,100
64,xxx,0.06333324000000001,6666,60,163,213,100
65,xxx,0.10166653999999997,7777,60,163,213,100
66,xxx,0.08333325999999999,8888,60,163,213,100
67,xxx,0.05833324000000001,9999,60,163,213,100
68,xxx,0.08333324000000002,12345,60,163,213,100
69,xxx,0.16666667999999998,67890,60,163,213,100
70,xxx,0.22000004,1111,60,220,270,100
71,xxx,0.26999996,2222,60,220,270,100
72,xxx,0.23999991999999995,4444,60,220,270,100
73,xxx,0.29833336,5555,60,220,270,100
74,xxx,0.18666663999999997,6666,60,220,270,100
75,xxx,0.17500002000000003,7777,60,220,270,100
76,xxx,0.26999996,8888,60,220,270,100
77,xxx,0.21999985999999996,9999,60,220,270,100
78,xxx,0.23500004000000005,12345,60,220,270,100
