,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,xxx,0.17199999999999993,1111,100,6,56,100
1,xxx,0.10600000000000001,2222,100,6,56,100
2,xxx,0.11400000000000002,4444,100,6,56,100
3,xxx,0.09799999999999999,5555,100,6,56,100
4,xxx,0.126,6666,100,6,56,100
5,xxx,0.07200000000000004,7777,100,6,56,100
6,xxx,0.09400000000000003,8888,100,6,56,100
7,xxx,0.162,9999,100,6,56,100
8,xxx,0.08800000000000001,12345,100,6,56,100
9,xxx,0.10200000000000001,67890,100,6,56,100
10,xxx,0.102,1111,100,44,94,100
11,xxx,0.14400000000000004,2222,100,44,94,100
12,xxx,0.14200000000000004,4444,100,44,94,100
13,xxx,0.12600000000000003,5555,100,44,94,100
14,xxx,0.11600000000000002,6666,100,44,94,100
15,xxx,0.13200000000000003,7777,100,44,94,100
16,xxx,0.13400000000000004,8888,100,44,94,100
17,xxx,0.13200000000000003,9999,100,44,94,100
18,xxx,0.10799999999999998,12345,100,44,94,100
19,xxx,0.13200000000000003,67890,100,44,94,100
20,xxx,0.14199999999999993,1111,100,94,144,100
21,xxx,0.07800000000000003,2222,100,94,144,100
22,xxx,0.1379999999999999,4444,100,94,144,100
23,xxx,0.07000000000000002,5555,100,94,144,100
24,xxx,0.08200000000000003,6666,100,94,144,100
25,xxx,0.07200000000000004,7777,100,94,144,100
26,xxx,0.07000000000000003,8888,100,94,144,100
27,xxx,0.10400000000000002,9999,100,94,144,100
28,xxx,0.10600000000000001,12345,100,94,144,100
29,xxx,0.07000000000000003,67890,100,94,144,100
30,xxx,0.13599999999999998,1111,100,99,149,100
31,xxx,0.08000000000000003,2222,100,99,149,100
32,xxx,0.06400000000000003,4444,100,99,149,100
33,xxx,0.126,5555,100,99,149,100
34,xxx,0.08000000000000003,6666,100,99,149,100
35,xxx,0.09200000000000004,7777,100,99,149,100
36,xxx,0.07000000000000003,8888,100,99,149,100
37,xxx,0.12000000000000004,9999,100,99,149,100
38,xxx,0.08800000000000004,12345,100,99,149,100
39,xxx,0.08200000000000005,67890,100,99,149,100
40,xxx,0.07000000000000003,1111,100,104,154,100
41,xxx,0.08,2222,100,104,154,100
42,xxx,0.12000000000000002,4444,100,104,154,100
43,xxx,0.07800000000000003,5555,100,104,154,100
44,xxx,0.07600000000000001,6666,100,104,154,100
45,xxx,0.08400000000000002,7777,100,104,154,100
46,xxx,0.076,8888,100,104,154,100
47,xxx,0.08600000000000002,9999,100,104,154,100
48,xxx,0.08000000000000002,12345,100,104,154,100
49,xxx,0.11600000000000003,67890,100,104,154,100
50,xxx,0.13799999999999993,1111,100,159,209,100
51,xxx,0.14399999999999993,2222,100,159,209,100
52,xxx,0.07000000000000002,4444,100,159,209,100
53,xxx,0.12999999999999995,5555,100,159,209,100
54,xxx,0.13199999999999995,6666,100,159,209,100
55,xxx,0.14599999999999994,7777,100,159,209,100
56,xxx,0.13799999999999996,8888,100,159,209,100
57,xxx,0.13199999999999995,9999,100,159,209,100
58,xxx,0.13999999999999996,12345,100,159,209,100
59,xxx,0.07400000000000004,67890,100,159,209,100
60,xxx,0.13999999999999996,1111,100,163,213,100
61,xxx,0.13999999999999996,2222,100,163,213,100
62,xxx,0.07400000000000002,4444,100,163,213,100
63,xxx,0.13799999999999996,5555,100,163,213,100
64,xxx,0.13799999999999996,6666,100,163,213,100
65,xxx,0.14199999999999996,7777,100,163,213,100
66,xxx,0.13399999999999998,8888,100,163,213,100
67,xxx,0.12999999999999998,9999,100,163,213,100
68,xxx,0.13599999999999998,12345,100,163,213,100
69,xxx,0.07600000000000003,67890,100,163,213,100
70,xxx,0.18,1111,100,220,270,100
71,xxx,0.030000000000000006,2222,100,220,270,100
72,xxx,0.20400000000000001,4444,100,220,270,100
73,xxx,0.20000000000000007,5555,100,220,270,100
74,xxx,0.08600000000000003,6666,100,220,270,100
75,xxx,0.19600000000000012,7777,100,220,270,100
76,xxx,0.11599999999999994,8888,100,220,270,100
77,xxx,0.068,9999,100,220,270,100
78,xxx,0.092,12345,100,220,270,100
79,xxx,0.172,67890,100,220,270,100
80,xxx,0.10999999999999993,1111,100,225,275,100
81,xxx,0.024,2222,100,225,275,100
82,xxx,0.11800000000000001,4444,100,225,275,100
83,xxx,0.2280000000000001,5555,100,225,275,100
84,xxx,0.08000000000000003,6666,100,225,275,100
85,xxx,0.10799999999999992,7777,100,225,275,100
86,xxx,0.10399999999999993,8888,100,225,275,100
87,xxx,0.2500000000000001,9999,100,225,275,100
88,xxx,0.07200000000000002,12345,100,225,275,100
89,xxx,0.10800000000000001,67890,100,225,275,100
90,xxx,0.05000000000000002,1111,100,270,320,100
91,xxx,0.048000000000000015,2222,100,270,320,100
92,xxx,0.106,4444,100,270,320,100
93,xxx,0.1399999999999999,5555,100,270,320,100
94,xxx,0.11199999999999996,6666,100,270,320,100
95,xxx,0.052000000000000025,7777,100,270,320,100
96,xxx,0.04200000000000001,8888,100,270,320,100
97,xxx,0.04000000000000001,9999,100,270,320,100
98,xxx,0.04000000000000001,12345,100,270,320,100
99,xxx,0.12599999999999997,67890,100,270,320,100
100,xxx,0.06800000000000003,1111,100,284,334,100
101,xxx,0.05400000000000002,2222,100,284,334,100
102,xxx,0.05600000000000002,4444,100,284,334,100
103,xxx,0.058000000000000024,5555,100,284,334,100
104,xxx,0.05600000000000002,6666,100,284,334,100
105,xxx,0.04600000000000001,7777,100,284,334,100
106,xxx,0.05400000000000002,8888,100,284,334,100
107,xxx,0.04400000000000001,9999,100,284,334,100
108,xxx,0.14799999999999996,12345,100,284,334,100
109,xxx,0.07000000000000003,67890,100,284,334,100
110,xxx,0.06800000000000003,1111,100,284,334,100
111,xxx,0.05400000000000002,2222,100,284,334,100
112,xxx,0.05600000000000002,4444,100,284,334,100
113,xxx,0.058000000000000024,5555,100,284,334,100
114,xxx,0.05600000000000002,6666,100,284,334,100
115,xxx,0.04600000000000001,7777,100,284,334,100
116,xxx,0.05400000000000002,8888,100,284,334,100
117,xxx,0.04400000000000001,9999,100,284,334,100
118,xxx,0.14799999999999996,12345,100,284,334,100
119,xxx,0.07000000000000003,67890,100,284,334,100
120,xxx,0.126,1111,100,344,394,100
121,xxx,0.12399999999999993,2222,100,344,394,100
122,xxx,0.11799999999999988,4444,100,344,394,100
123,xxx,0.12799999999999995,5555,100,344,394,100
124,xxx,0.12399999999999994,6666,100,344,394,100
125,xxx,0.084,7777,100,344,394,100
126,xxx,0.14999999999999988,8888,100,344,394,100
127,xxx,0.1199999999999999,9999,100,344,394,100
128,xxx,0.09200000000000001,12345,100,344,394,100
129,xxx,0.07600000000000003,67890,100,344,394,100
130,xxx,0.10599999999999996,1111,100,348,398,100
131,xxx,0.102,2222,100,348,398,100
132,xxx,0.11999999999999987,4444,100,348,398,100
133,xxx,0.12599999999999992,5555,100,348,398,100
134,xxx,0.13599999999999995,6666,100,348,398,100
135,xxx,0.10799999999999997,7777,100,348,398,100
136,xxx,0.13399999999999987,8888,100,348,398,100
137,xxx,0.1339999999999999,9999,100,348,398,100
138,xxx,0.1359999999999999,12345,100,348,398,100
139,xxx,0.08400000000000002,67890,100,348,398,100
140,xxx,0.06400000000000002,1111,100,352,402,100
141,xxx,0.20999999999999988,2222,100,352,402,100
142,xxx,0.060000000000000026,4444,100,352,402,100
143,xxx,0.1999999999999999,5555,100,352,402,100
144,xxx,0.062000000000000034,6666,100,352,402,100
145,xxx,0.07200000000000004,7777,100,352,402,100
146,xxx,0.19599999999999987,8888,100,352,402,100
147,xxx,0.1779999999999999,9999,100,352,402,100
148,xxx,0.20399999999999988,12345,100,352,402,100
149,xxx,0.058000000000000024,67890,100,352,402,100
150,xxx,0.05200000000000002,1111,100,367,417,100
151,xxx,0.05200000000000002,2222,100,367,417,100
152,xxx,0.04400000000000001,4444,100,367,417,100
153,xxx,0.076,5555,100,367,417,100
154,xxx,0.048000000000000015,6666,100,367,417,100
155,xxx,0.048000000000000015,7777,100,367,417,100
156,xxx,0.048000000000000015,8888,100,367,417,100
157,xxx,0.04000000000000001,9999,100,367,417,100
158,xxx,0.05000000000000002,12345,100,367,417,100
159,xxx,0.05400000000000002,67890,100,367,417,100
160,xxx,0.06200000000000001,1111,100,389,439,100
161,xxx,0.07000000000000003,2222,100,389,439,100
162,xxx,0.04800000000000001,4444,100,389,439,100
163,xxx,0.16,5555,100,389,439,100
164,xxx,0.06400000000000003,6666,100,389,439,100
165,xxx,0.060000000000000026,7777,100,389,439,100
166,xxx,0.060000000000000026,8888,100,389,439,100
167,xxx,0.058000000000000024,9999,100,389,439,100
168,xxx,0.05400000000000001,12345,100,389,439,100
169,xxx,0.05400000000000001,67890,100,389,439,100
170,xxx,0.08799999999999997,1111,100,429,479,100
171,xxx,0.09999999999999998,2222,100,429,479,100
172,xxx,0.18599999999999994,4444,100,429,479,100
173,xxx,0.11199999999999997,5555,100,429,479,100
174,xxx,0.07600000000000003,6666,100,429,479,100
175,xxx,0.08400000000000002,7777,100,429,479,100
176,xxx,0.09799999999999998,8888,100,429,479,100
177,xxx,0.14999999999999997,9999,100,429,479,100
178,xxx,0.09999999999999998,12345,100,429,479,100
179,xxx,0.17399999999999996,67890,100,429,479,100
180,xxx,0.08400000000000002,1111,100,432,482,100
181,xxx,0.11599999999999996,2222,100,432,482,100
182,xxx,0.11799999999999992,4444,100,432,482,100
183,xxx,0.13199999999999995,5555,100,432,482,100
184,xxx,0.132,6666,100,432,482,100
185,xxx,0.09000000000000002,7777,100,432,482,100
186,xxx,0.12599999999999997,8888,100,432,482,100
187,xxx,0.13399999999999998,9999,100,432,482,100
188,xxx,0.12599999999999997,12345,100,432,482,100
189,xxx,0.11399999999999996,67890,100,432,482,100
190,xxx,0.086,1111,100,459,509,100
191,xxx,0.10399999999999997,2222,100,459,509,100
192,xxx,0.09799999999999998,4444,100,459,509,100
193,xxx,0.09799999999999995,5555,100,459,509,100
194,xxx,0.09,6666,100,459,509,100
195,xxx,0.1,7777,100,459,509,100
196,xxx,0.11599999999999998,8888,100,459,509,100
197,xxx,0.096,9999,100,459,509,100
198,xxx,0.10399999999999997,12345,100,459,509,100
199,xxx,0.09599999999999996,67890,100,459,509,100
200,xxx,0.10200000000000004,1111,100,470,520,100
201,xxx,0.08000000000000003,2222,100,470,520,100
202,xxx,0.06200000000000002,4444,100,470,520,100
203,xxx,0.09,5555,100,470,520,100
204,xxx,0.07600000000000003,6666,100,470,520,100
205,xxx,0.09600000000000003,7777,100,470,520,100
206,xxx,0.118,8888,100,470,520,100
207,xxx,0.06600000000000002,9999,100,470,520,100
208,xxx,0.07400000000000004,12345,100,470,520,100
209,xxx,0.08200000000000002,67890,100,470,520,100
210,xxx,0.12200000000000003,1111,100,603,653,100
211,xxx,0.12400000000000003,2222,100,603,653,100
212,xxx,0.13199999999999998,4444,100,603,653,100
213,xxx,0.13399999999999992,5555,100,603,653,100
214,xxx,0.10600000000000001,6666,100,603,653,100
215,xxx,0.136,7777,100,603,653,100
216,xxx,0.09800000000000003,8888,100,603,653,100
217,xxx,0.12799999999999995,9999,100,603,653,100
218,xxx,0.102,12345,100,603,653,100
219,xxx,0.13799999999999998,67890,100,603,653,100
220,xxx,0.15199999999999997,1111,100,618,668,100
221,xxx,0.07400000000000004,2222,100,618,668,100
222,xxx,0.08200000000000003,4444,100,618,668,100
223,xxx,0.07200000000000004,5555,100,618,668,100
224,xxx,0.15,6666,100,618,668,100
225,xxx,0.14399999999999993,7777,100,618,668,100
226,xxx,0.12599999999999997,8888,100,618,668,100
227,xxx,0.08200000000000003,9999,100,618,668,100
228,xxx,0.13399999999999998,12345,100,618,668,100
229,xxx,0.08600000000000002,67890,100,618,668,100
230,xxx,0.060000000000000026,1111,100,714,764,100
231,xxx,0.06800000000000003,2222,100,714,764,100
232,xxx,0.06200000000000003,4444,100,714,764,100
233,xxx,0.06000000000000003,5555,100,714,764,100
234,xxx,0.07200000000000004,6666,100,714,764,100
235,xxx,0.07200000000000002,7777,100,714,764,100
236,xxx,0.06800000000000003,8888,100,714,764,100
237,xxx,0.07800000000000004,9999,100,714,764,100
238,xxx,0.07200000000000004,12345,100,714,764,100
239,xxx,0.11599999999999987,67890,100,714,764,100
240,xxx,0.07400000000000004,1111,100,747,797,100
241,xxx,0.092,2222,100,747,797,100
242,xxx,0.08000000000000003,4444,100,747,797,100
243,xxx,0.06400000000000003,5555,100,747,797,100
244,xxx,0.096,6666,100,747,797,100
245,xxx,0.08000000000000002,7777,100,747,797,100
246,xxx,0.06600000000000003,8888,100,747,797,100
247,xxx,0.11799999999999997,9999,100,747,797,100
248,xxx,0.07800000000000004,12345,100,747,797,100
249,xxx,0.096,67890,100,747,797,100
250,xxx,0.1479999999999999,1111,100,777,827,100
251,xxx,0.098,2222,100,777,827,100
252,xxx,0.15799999999999995,4444,100,777,827,100
253,xxx,0.094,5555,100,777,827,100
254,xxx,0.09200000000000001,6666,100,777,827,100
255,xxx,0.09600000000000002,7777,100,777,827,100
256,xxx,0.06600000000000002,8888,100,777,827,100
257,xxx,0.15599999999999994,9999,100,777,827,100
258,xxx,0.11400000000000002,12345,100,777,827,100
259,xxx,0.09200000000000004,67890,100,777,827,100
260,xxx,0.11999999999999994,1111,100,781,831,100
261,xxx,0.094,2222,100,781,831,100
262,xxx,0.11600000000000002,4444,100,781,831,100
263,xxx,0.09600000000000002,5555,100,781,831,100
264,xxx,0.09200000000000001,6666,100,781,831,100
265,xxx,0.09400000000000003,7777,100,781,831,100
266,xxx,0.07200000000000002,8888,100,781,831,100
267,xxx,0.09999999999999998,9999,100,781,831,100
268,xxx,0.124,12345,100,781,831,100
269,xxx,0.1399999999999999,67890,100,781,831,100
270,xxx,0.09600000000000002,1111,100,825,875,100
271,xxx,0.09600000000000003,2222,100,825,875,100
272,xxx,0.08800000000000004,4444,100,825,875,100
273,xxx,0.09200000000000004,5555,100,825,875,100
274,xxx,0.09200000000000004,6666,100,825,875,100
275,xxx,0.09000000000000002,7777,100,825,875,100
276,xxx,0.09600000000000003,8888,100,825,875,100
277,xxx,0.09800000000000003,9999,100,825,875,100
278,xxx,0.08400000000000006,12345,100,825,875,100
279,xxx,0.09400000000000004,67890,100,825,875,100
280,xxx,0.10000000000000003,1111,100,826,876,100
281,xxx,0.09800000000000005,2222,100,826,876,100
282,xxx,0.09200000000000004,4444,100,826,876,100
283,xxx,0.08800000000000004,5555,100,826,876,100
284,xxx,0.09400000000000006,6666,100,826,876,100
285,xxx,0.10000000000000003,7777,100,826,876,100
286,xxx,0.09600000000000004,8888,100,826,876,100
287,xxx,0.09400000000000006,9999,100,826,876,100
288,xxx,0.08600000000000005,12345,100,826,876,100
289,xxx,0.09600000000000004,67890,100,826,876,100
290,xxx,0.10600000000000004,1111,100,828,878,100
291,xxx,0.09800000000000006,2222,100,828,878,100
292,xxx,0.09600000000000004,4444,100,828,878,100
293,xxx,0.10000000000000005,5555,100,828,878,100
294,xxx,0.10000000000000005,6666,100,828,878,100
295,xxx,0.10400000000000002,7777,100,828,878,100
296,xxx,0.10600000000000004,8888,100,828,878,100
297,xxx,0.09800000000000005,9999,100,828,878,100
298,xxx,0.09600000000000004,12345,100,828,878,100
299,xxx,0.10200000000000005,67890,100,828,878,100
