,update_mode,utility,seed,human_seed,init_time,update_time,duration,utility_max,utility_scaled
0,keep_knowledge,0.114,1111,100,6,56,100,0.0639999999999999,1.7812500000000027
1,keep_knowledge,0.062,2222,100,6,56,100,0.0879999999999999,0.7045454545454554
2,keep_knowledge,0.0699999999999999,4444,100,6,56,100,0.0619999999999999,1.1290322580645162
3,keep_knowledge,0.043,5555,100,6,56,100,0.0629999999999999,0.6825396825396836
4,keep_knowledge,0.066,6666,100,6,56,100,0.045,1.4666666666666668
5,keep_knowledge,0.054,7777,100,6,56,100,0.058,0.9310344827586207
6,keep_knowledge,0.069,8888,100,6,56,100,0.081,0.8518518518518519
7,keep_knowledge,0.086,9999,100,6,56,100,0.1679999999999999,0.5119047619047622
8,keep_knowledge,0.072,12345,100,6,56,100,0.08,0.8999999999999999
9,keep_knowledge,0.06,67890,100,6,56,100,0.0829999999999999,0.7228915662650611
10,clear_knowledge,0.061,1111,100,6,56,100,0.0639999999999999,0.9531250000000014
11,clear_knowledge,0.064,2222,100,6,56,100,0.0879999999999999,0.7272727272727282
12,clear_knowledge,0.071,4444,100,6,56,100,0.0619999999999999,1.1451612903225823
13,clear_knowledge,0.079,5555,100,6,56,100,0.0629999999999999,1.253968253968256
14,clear_knowledge,0.065,6666,100,6,56,100,0.045,1.4444444444444446
15,clear_knowledge,0.06,7777,100,6,56,100,0.058,1.0344827586206895
16,clear_knowledge,0.0619999999999999,8888,100,6,56,100,0.081,0.7654320987654308
17,clear_knowledge,0.051,9999,100,6,56,100,0.1679999999999999,0.3035714285714287
18,clear_knowledge,0.072,12345,100,6,56,100,0.08,0.8999999999999999
19,clear_knowledge,0.06,67890,100,6,56,100,0.0829999999999999,0.7228915662650611
20,xxx,0.058,1111,100,6,56,100,0.0639999999999999,0.9062500000000014
21,xxx,0.099,2222,100,6,56,100,0.0879999999999999,1.1250000000000013
22,xxx,0.073,4444,100,6,56,100,0.0619999999999999,1.1774193548387115
23,xxx,0.041,5555,100,6,56,100,0.0629999999999999,0.6507936507936518
24,xxx,0.062,6666,100,6,56,100,0.045,1.3777777777777778
25,xxx,0.052,7777,100,6,56,100,0.058,0.8965517241379309
26,xxx,0.0619999999999999,8888,100,6,56,100,0.081,0.7654320987654308
27,xxx,0.08,9999,100,6,56,100,0.1679999999999999,0.4761904761904765
28,xxx,0.074,12345,100,6,56,100,0.08,0.9249999999999999
29,xxx,0.05,67890,100,6,56,100,0.0829999999999999,0.6024096385542177
30,keep_knowledge,0.086,1111,100,44,94,100,0.1199999999999999,0.7166666666666672
31,keep_knowledge,0.094,2222,100,44,94,100,0.072,1.3055555555555556
32,keep_knowledge,0.0719999999999999,4444,100,44,94,100,0.064,1.1249999999999984
33,keep_knowledge,0.0789999999999999,5555,100,44,94,100,0.0569999999999999,1.3859649122807025
34,keep_knowledge,0.081,6666,100,44,94,100,0.1219999999999999,0.6639344262295087
35,keep_knowledge,0.077,7777,100,44,94,100,0.0919999999999999,0.8369565217391314
36,keep_knowledge,0.0759999999999999,8888,100,44,94,100,0.1129999999999999,0.6725663716814156
37,keep_knowledge,0.0749999999999999,9999,100,44,94,100,0.104,0.7211538461538453
38,keep_knowledge,0.0829999999999999,12345,100,44,94,100,0.079,1.0506329113924038
39,keep_knowledge,0.075,67890,100,44,94,100,0.075,1.0
40,clear_knowledge,0.086,1111,100,44,94,100,0.1199999999999999,0.7166666666666672
41,clear_knowledge,0.096,2222,100,44,94,100,0.072,1.3333333333333335
42,clear_knowledge,0.0699999999999999,4444,100,44,94,100,0.064,1.0937499999999984
43,clear_knowledge,0.0779999999999999,5555,100,44,94,100,0.0569999999999999,1.3684210526315796
44,clear_knowledge,0.0699999999999999,6666,100,44,94,100,0.1219999999999999,0.5737704918032783
45,clear_knowledge,0.077,7777,100,44,94,100,0.0919999999999999,0.8369565217391314
46,clear_knowledge,0.0759999999999999,8888,100,44,94,100,0.1129999999999999,0.6725663716814156
47,clear_knowledge,0.0749999999999999,9999,100,44,94,100,0.104,0.7211538461538453
48,clear_knowledge,0.0859999999999999,12345,100,44,94,100,0.079,1.0886075949367076
49,clear_knowledge,0.077,67890,100,44,94,100,0.075,1.0266666666666666
50,xxx,0.0829999999999999,1111,100,44,94,100,0.1199999999999999,0.6916666666666663
51,xxx,0.091,2222,100,44,94,100,0.072,1.2638888888888888
52,xxx,0.0709999999999999,4444,100,44,94,100,0.064,1.1093749999999984
