,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,keep_knowledge,0.05,1111,100,6,56,100
1,keep_knowledge,0.05,2222,100,6,56,100
2,keep_knowledge,0.06999999999999999,4444,100,6,56,100
3,keep_knowledge,0.04,5555,100,6,56,100
4,keep_knowledge,0.04,6666,100,6,56,100
5,clear_knowledge,0.01,1111,100,6,56,100
6,clear_knowledge,0.06999999999999999,2222,100,6,56,100
7,clear_knowledge,0.06999999999999999,4444,100,6,56,100
8,clear_knowledge,0.04,5555,100,6,56,100
9,clear_knowledge,0.030000000000000006,6666,100,6,56,100
10,xxx,0.01,1111,100,6,56,100
11,xxx,0.05,2222,100,6,56,100
12,xxx,0.06,4444,100,6,56,100
13,xxx,0.04,5555,100,6,56,100
14,xxx,0.0,6666,100,6,56,100
15,keep_knowledge,0.02,1111,100,44,94,100
16,keep_knowledge,0.05,2222,100,44,94,100
17,keep_knowledge,0.03,4444,100,44,94,100
18,keep_knowledge,0.01,5555,100,44,94,100
19,keep_knowledge,0.01,6666,100,44,94,100
20,clear_knowledge,0.02,1111,100,44,94,100
21,clear_knowledge,0.05,2222,100,44,94,100
22,clear_knowledge,0.03,4444,100,44,94,100
23,clear_knowledge,0.01,5555,100,44,94,100
24,clear_knowledge,0.01,6666,100,44,94,100
25,xxx,0.02,1111,100,44,94,100
26,xxx,0.05,2222,100,44,94,100
27,xxx,0.03,4444,100,44,94,100
28,xxx,0.01,5555,100,44,94,100
29,xxx,0.01,6666,100,44,94,100
30,keep_knowledge,0.01,1111,100,94,144,100
31,keep_knowledge,0.0,2222,100,94,144,100
32,keep_knowledge,0.01,4444,100,94,144,100
33,keep_knowledge,0.0,5555,100,94,144,100
34,keep_knowledge,0.01,6666,100,94,144,100
35,clear_knowledge,0.01,1111,100,94,144,100
36,clear_knowledge,0.0,2222,100,94,144,100
37,clear_knowledge,0.01,4444,100,94,144,100
38,clear_knowledge,0.0,5555,100,94,144,100
39,clear_knowledge,0.01,6666,100,94,144,100
40,xxx,0.01,1111,100,94,144,100
41,xxx,0.0,2222,100,94,144,100
42,xxx,0.01,4444,100,94,144,100
43,xxx,0.0,5555,100,94,144,100
44,xxx,0.01,6666,100,94,144,100
45,keep_knowledge,0.01,1111,100,99,149,100
46,keep_knowledge,0.01,2222,100,99,149,100
47,keep_knowledge,0.0,4444,100,99,149,100
48,keep_knowledge,0.01,5555,100,99,149,100
49,keep_knowledge,0.01,6666,100,99,149,100
50,clear_knowledge,0.02,1111,100,99,149,100
51,clear_knowledge,0.0,2222,100,99,149,100
52,clear_knowledge,0.01,4444,100,99,149,100
53,clear_knowledge,0.0,5555,100,99,149,100
54,clear_knowledge,0.01,6666,100,99,149,100
55,xxx,0.0,1111,100,99,149,100
56,xxx,0.0,2222,100,99,149,100
57,xxx,0.0,4444,100,99,149,100
58,xxx,0.0,5555,100,99,149,100
59,xxx,0.0,6666,100,99,149,100
60,keep_knowledge,0.01,1111,100,104,154,100
61,keep_knowledge,0.0,2222,100,104,154,100
62,keep_knowledge,0.0,4444,100,104,154,100
63,keep_knowledge,0.0,5555,100,104,154,100
64,keep_knowledge,0.0,6666,100,104,154,100
65,clear_knowledge,0.01,1111,100,104,154,100
66,clear_knowledge,0.01,2222,100,104,154,100
67,clear_knowledge,0.0,4444,100,104,154,100
68,clear_knowledge,0.0,5555,100,104,154,100
69,clear_knowledge,0.0,6666,100,104,154,100
70,xxx,0.01,1111,100,104,154,100
71,xxx,0.0,2222,100,104,154,100
72,xxx,0.0,4444,100,104,154,100
73,xxx,0.0,5555,100,104,154,100
74,xxx,0.0,6666,100,104,154,100
75,keep_knowledge,0.01,1111,100,159,209,100
76,keep_knowledge,0.01,2222,100,159,209,100
77,keep_knowledge,0.01,4444,100,159,209,100
78,keep_knowledge,0.0,5555,100,159,209,100
79,keep_knowledge,0.02,6666,100,159,209,100
80,clear_knowledge,0.01,1111,100,159,209,100
81,clear_knowledge,0.01,2222,100,159,209,100
82,clear_knowledge,0.02,4444,100,159,209,100
83,clear_knowledge,0.01,5555,100,159,209,100
84,clear_knowledge,0.02,6666,100,159,209,100
85,xxx,0.02,1111,100,159,209,100
86,xxx,0.01,2222,100,159,209,100
87,xxx,0.02,4444,100,159,209,100
88,xxx,0.01,5555,100,159,209,100
89,xxx,0.030000000000000006,6666,100,159,209,100
90,keep_knowledge,0.06,1111,100,163,213,100
91,keep_knowledge,0.06999999999999999,2222,100,163,213,100
92,keep_knowledge,0.05,4444,100,163,213,100
93,keep_knowledge,0.06999999999999999,5555,100,163,213,100
94,keep_knowledge,0.04,6666,100,163,213,100
95,clear_knowledge,0.06,1111,100,163,213,100
96,clear_knowledge,0.06999999999999999,2222,100,163,213,100
97,clear_knowledge,0.05,4444,100,163,213,100
98,clear_knowledge,0.06999999999999999,5555,100,163,213,100
99,clear_knowledge,0.04,6666,100,163,213,100
100,xxx,0.06,1111,100,163,213,100
101,xxx,0.06999999999999999,2222,100,163,213,100
102,xxx,0.05,4444,100,163,213,100
103,xxx,0.06999999999999999,5555,100,163,213,100
104,xxx,0.04,6666,100,163,213,100
105,keep_knowledge,0.08,1111,100,220,270,100
106,keep_knowledge,0.09,2222,100,220,270,100
107,keep_knowledge,0.06999999999999999,4444,100,220,270,100
108,keep_knowledge,0.07999999999999999,5555,100,220,270,100
109,keep_knowledge,0.06,6666,100,220,270,100
110,clear_knowledge,0.06000000000000001,1111,100,220,270,100
111,clear_knowledge,0.06999999999999999,2222,100,220,270,100
112,clear_knowledge,0.06999999999999999,4444,100,220,270,100
113,clear_knowledge,0.06,5555,100,220,270,100
114,clear_knowledge,0.07999999999999999,6666,100,220,270,100
115,xxx,0.04,1111,100,220,270,100
116,xxx,0.05,2222,100,220,270,100
117,xxx,0.030000000000000006,4444,100,220,270,100
118,xxx,0.06,5555,100,220,270,100
119,xxx,0.06,6666,100,220,270,100
120,keep_knowledge,0.030000000000000006,1111,100,225,275,100
121,keep_knowledge,0.02,2222,100,225,275,100
122,keep_knowledge,0.04,4444,100,225,275,100
123,keep_knowledge,0.02,5555,100,225,275,100
124,keep_knowledge,0.04,6666,100,225,275,100
125,clear_knowledge,0.02,1111,100,225,275,100
126,clear_knowledge,0.02,2222,100,225,275,100
127,clear_knowledge,0.030000000000000006,4444,100,225,275,100
128,clear_knowledge,0.04,5555,100,225,275,100
129,clear_knowledge,0.05,6666,100,225,275,100
130,xxx,0.01,1111,100,225,275,100
131,xxx,0.02,2222,100,225,275,100
132,xxx,0.030000000000000006,4444,100,225,275,100
133,xxx,0.02,5555,100,225,275,100
134,xxx,0.04,6666,100,225,275,100
135,keep_knowledge,0.030000000000000006,1111,100,270,320,100
136,keep_knowledge,0.04,2222,100,270,320,100
137,keep_knowledge,0.05,4444,100,270,320,100
138,keep_knowledge,0.04,5555,100,270,320,100
139,keep_knowledge,0.030000000000000006,6666,100,270,320,100
140,clear_knowledge,0.030000000000000006,1111,100,270,320,100
141,clear_knowledge,0.04,2222,100,270,320,100
142,clear_knowledge,0.05,4444,100,270,320,100
143,clear_knowledge,0.04,5555,100,270,320,100
144,clear_knowledge,0.030000000000000006,6666,100,270,320,100
145,xxx,0.030000000000000006,1111,100,270,320,100
146,xxx,0.04,2222,100,270,320,100
147,xxx,0.05,4444,100,270,320,100
148,xxx,0.04,5555,100,270,320,100
149,xxx,0.030000000000000006,6666,100,270,320,100
150,keep_knowledge,0.0,1111,100,284,334,100
151,keep_knowledge,0.01,2222,100,284,334,100
152,keep_knowledge,0.030000000000000006,4444,100,284,334,100
153,keep_knowledge,0.02,5555,100,284,334,100
154,keep_knowledge,0.01,6666,100,284,334,100
155,clear_knowledge,0.0,1111,100,284,334,100
156,clear_knowledge,0.01,2222,100,284,334,100
157,clear_knowledge,0.02,4444,100,284,334,100
158,clear_knowledge,0.02,5555,100,284,334,100
159,clear_knowledge,0.01,6666,100,284,334,100
160,xxx,0.01,1111,100,284,334,100
161,xxx,0.02,2222,100,284,334,100
162,xxx,0.030000000000000006,4444,100,284,334,100
163,xxx,0.030000000000000006,5555,100,284,334,100
164,xxx,0.02,6666,100,284,334,100
165,keep_knowledge,0.0,1111,100,284,334,100
166,keep_knowledge,0.01,2222,100,284,334,100
167,keep_knowledge,0.030000000000000006,4444,100,284,334,100
168,keep_knowledge,0.02,5555,100,284,334,100
169,keep_knowledge,0.01,6666,100,284,334,100
170,clear_knowledge,0.0,1111,100,284,334,100
171,clear_knowledge,0.01,2222,100,284,334,100
172,clear_knowledge,0.02,4444,100,284,334,100
173,clear_knowledge,0.02,5555,100,284,334,100
174,clear_knowledge,0.01,6666,100,284,334,100
