,compare,threshold,seed,human_seed,updates,utility
0,action,0.01,,100,77,0.0336
1,action,0.02,,100,77,0.0336
2,action,0.03,,100,77,0.0336
3,action,0.04,,100,77,0.0336
4,action,0.05,,100,53,0.0552
5,action,0.06,,100,53,0.0552
6,action,0.07,,100,53,0.0552
7,action,0.08,,100,52,0.0638
8,action,0.09,,100,52,0.0638
9,action,0.1,,100,29,0.0726
10,action,0.1,,100,29,0.0726
11,action,0.11,,100,29,0.0726
12,action,0.12,,100,29,0.0726
13,action,0.13,,100,29,0.0726
14,action,0.14,,100,29,0.0726
15,action,0.15,,100,23,0.0818
16,action,0.16,,100,23,0.0818
17,action,0.17,,100,23,0.0818
18,action,0.18,,100,23,0.0818
19,action,0.19,,100,23,0.0818
20,action,0.191,,100,23,0.0818
21,action,0.192,,100,23,0.0818
22,action,0.193,,100,23,0.0818
23,action,0.194,,100,23,0.0818
24,action,0.195,,100,23,0.0818
25,action,0.196,,100,23,0.0818
26,action,0.197,,100,23,0.0818
27,action,0.198,,100,23,0.0818
28,action,0.199,,100,23,0.0818
29,action,0.2,,100,9,0.0973
30,action,0.23,,100,9,0.0973
31,action,0.25,,100,8,0.0897
32,action,0.26,,100,8,0.0897
33,action,0.29,,100,8,0.0897
34,action,0.3,,100,3,0.0932
35,action,0.32,,100,3,0.0932
36,action,0.35,,100,2,0.0928
37,action,0.35,,100,2,0.0928
38,action,0.38,,100,2,0.0928
39,action,0.4,,100,0,0.1217
40,action,0.41,,100,0,0.1217
41,action,0.44,,100,0,0.1217
42,action,0.45,,100,0,0.1217
43,action,0.47,,100,0,0.1217
44,action,0.5,,100,0,0.1217
45,action,0.55,,100,0,0.1217
46,action,0.6,,100,0,0.1217
47,action,0.65,,100,0,0.1217
48,action,0.7,,100,0,0.1217
49,action,0.75,,100,0,0.1217
50,action,0.8,,100,0,0.1217
51,action,0.85,,100,0,0.1217
52,action,0.9,,100,0,0.1217
53,action,0.95,,100,0,0.1217
54,action_direct,0.01,1111.0,100,583,0.0012
55,action_direct,0.02,1111.0,100,583,0.0012
56,action_direct,0.03,1111.0,100,583,0.0012
57,action_direct,0.04,1111.0,100,583,0.0012
58,action_direct,0.05,1111.0,100,578,0.0012
59,action_direct,0.06,1111.0,100,578,0.0012
60,action_direct,0.07,1111.0,100,578,0.0012
61,action_direct,0.08,1111.0,100,578,0.0012
62,action_direct,0.09,1111.0,100,578,0.0012
63,action_direct,0.1,1111.0,100,545,0.0013
64,action_direct,0.1,1111.0,100,545,0.0013
65,action_direct,0.11,1111.0,100,545,0.0013
