,compare,threshold,seed,human_seed,updates,utility
0,interaction,0.2,3333,100,238,8.333300000000001e-05
1,interaction,0.2,3333,200,237,8.333300000000001e-05
2,interaction,0.2,3333,300,236,8.333300000000001e-05
3,interaction,0.2,3333,400,237,8.333300000000001e-05
4,interaction,0.2,3333,500,246,8.333300000000001e-05
5,interaction,0.5,3333,100,238,8.333300000000001e-05
6,interaction,0.5,3333,200,237,8.333300000000001e-05
7,interaction,0.5,3333,300,236,8.333300000000001e-05
8,interaction,0.5,3333,400,237,8.333300000000001e-05
9,interaction,0.5,3333,500,246,8.333300000000001e-05
10,interaction,1.0,3333,100,235,0.000916663
11,interaction,1.0,3333,200,235,0.000999996
12,interaction,1.0,3333,300,233,0.001166662
13,interaction,1.0,3333,400,232,0.000999996
14,interaction,1.0,3333,500,240,0.001083329
15,interaction,1.1,3333,100,202,0.0062499749999999
16,interaction,1.1,3333,200,202,0.0062499749999999
17,interaction,1.1,3333,300,199,0.0069999719999999
18,interaction,1.1,3333,400,202,0.0057499769999999
19,interaction,1.1,3333,500,206,0.0067499739999999
20,interaction,1.2,3333,100,202,0.0064999739999999
21,interaction,1.2,3333,200,199,0.0064166409999999
22,interaction,1.2,3333,300,201,0.0070833049999999
23,interaction,1.2,3333,400,200,0.0060833099999999
24,interaction,1.2,3333,500,206,0.0066666399999999
25,interaction,1.3,3333,100,202,0.0071666379999999
26,interaction,1.3,3333,200,197,0.0066666399999999
27,interaction,1.3,3333,300,201,0.0072499709999999
28,interaction,1.3,3333,400,194,0.0069999729999999
29,interaction,1.3,3333,500,205,0.0069999719999999
30,interaction,1.4,3333,100,200,0.0074166369999999
31,interaction,1.4,3333,200,195,0.0068333059999999
32,interaction,1.4,3333,300,197,0.0072499709999999
33,interaction,1.4,3333,400,191,0.0072499719999999
34,interaction,1.4,3333,500,204,0.0071666379999999
35,interaction,1.5,3333,100,180,0.0074999749999999
36,interaction,1.5,3333,100,180,0.0074999749999999
37,interaction,1.5,3333,200,181,0.0069166409999999
38,interaction,1.5,3333,200,181,0.0069166409999999
39,interaction,1.5,3333,300,185,0.0069166409999999
40,interaction,1.5,3333,300,185,0.0069166409999999
41,interaction,1.5,3333,400,177,0.0066666419999999
