,compare,threshold,seed,human_seed,updates,utility
0,interaction,0.1,3333,100,339,0.0
1,interaction,0.1,3333,200,331,0.0
2,interaction,0.1,3333,300,333,0.0
3,interaction,0.1,3333,400,313,0.0
4,interaction,0.1,3333,500,336,0.0
5,interaction,0.2,3333,100,339,0.0
6,interaction,0.2,3333,200,331,0.0
7,interaction,0.2,3333,300,333,0.0
8,interaction,0.2,3333,400,313,0.0
9,interaction,0.2,3333,500,336,0.0
10,interaction,0.3,3333,100,339,0.0
11,interaction,0.3,3333,200,331,0.0
12,interaction,0.3,3333,300,333,0.0
13,interaction,0.3,3333,400,313,0.0
14,interaction,0.3,3333,500,336,0.0
15,interaction,0.4,3333,100,339,0.0
16,interaction,0.4,3333,200,331,0.0
17,interaction,0.4,3333,300,333,0.0
18,interaction,0.4,3333,400,313,0.0
19,interaction,0.4,3333,500,336,0.0
20,interaction,0.5,3333,100,339,0.0
21,interaction,0.5,3333,200,331,0.0
22,interaction,0.5,3333,300,333,0.0
23,interaction,0.5,3333,400,313,0.0
24,interaction,0.5,3333,500,336,0.0
25,interaction,0.6,3333,100,339,0.0
26,interaction,0.6,3333,200,331,0.0
27,interaction,0.6,3333,300,333,0.0
28,interaction,0.6,3333,400,313,0.0
29,interaction,0.6,3333,500,336,0.0
30,interaction,0.7,3333,100,339,0.0
31,interaction,0.7,3333,200,331,0.0
32,interaction,0.7,3333,300,333,0.0
33,interaction,0.7,3333,400,313,0.0
34,interaction,0.7,3333,500,336,0.0
35,interaction,0.8,3333,100,339,0.0
36,interaction,0.8,3333,200,331,0.0
37,interaction,0.8,3333,300,333,0.0
38,interaction,0.8,3333,400,313,0.0
39,interaction,0.8,3333,500,336,0.0
40,interaction,0.9,3333,100,339,0.0
41,interaction,0.9,3333,200,331,0.0
42,interaction,0.9,3333,300,333,0.0
43,interaction,0.9,3333,400,313,0.0
44,interaction,0.9,3333,500,336,0.0
45,interaction,1.0,3333,100,330,0.00065
46,interaction,1.0,3333,200,323,0.00075
47,interaction,1.0,3333,300,326,0.00065
48,interaction,1.0,3333,400,310,0.0006
49,interaction,1.0,3333,500,327,0.00065
50,interaction,1.2,3333,100,292,0.0053499999999999
51,interaction,1.2,3333,200,287,0.0052499999999999
52,interaction,1.2,3333,300,280,0.0053999999999999
53,interaction,1.2,3333,400,274,0.0044999999999999
54,interaction,1.2,3333,500,285,0.0052999999999999
55,interaction,1.4,3333,100,289,0.0058999999999999
56,interaction,1.4,3333,200,284,0.0057499999999999
57,interaction,1.4,3333,300,270,0.0058499999999999
58,interaction,1.4,3333,400,271,0.0048999999999999
59,interaction,1.4,3333,500,283,0.0056499999999999
60,interaction,1.6,3333,100,255,0.0055999999999999
61,interaction,1.6,3333,200,253,0.0061999999999999
62,interaction,1.6,3333,300,259,0.0059999999999999
63,interaction,1.6,3333,400,251,0.0055999999999999
64,interaction,1.6,3333,500,259,0.0059999999999999
65,interaction,1.8,3333,100,231,0.0075999999999999
66,interaction,1.8,3333,200,229,0.0072999999999999
67,interaction,1.8,3333,300,235,0.0071999999999999
68,interaction,1.8,3333,400,228,0.0072999999999999
69,interaction,1.8,3333,500,231,0.0071499999999999
70,interaction,2.0,3333,100,223,0.0084999999999999
71,interaction,2.0,3333,200,210,0.0075499999999999
72,interaction,2.0,3333,300,228,0.0085499999999999
73,interaction,2.0,3333,400,216,0.0082999999999999
74,interaction,2.0,3333,500,222,0.0083499999999999
75,interaction,2.2,3333,100,209,0.00965
76,interaction,2.2,3333,200,203,0.0087499999999999
77,interaction,2.2,3333,300,212,0.0086499999999999
78,interaction,2.2,3333,400,200,0.0083999999999999
79,interaction,2.2,3333,500,204,0.0093499999999999
80,interaction,2.4,3333,100,197,0.01015
81,interaction,2.4,3333,200,189,0.0088999999999999
82,interaction,2.4,3333,300,202,0.0092999999999999
83,interaction,2.4,3333,400,190,0.0084999999999999
84,interaction,2.4,3333,500,199,0.0103
85,interaction,2.6,3333,100,179,0.01075
86,interaction,2.6,3333,200,183,0.0099
87,interaction,2.6,3333,300,188,0.01035
88,interaction,2.6,3333,400,180,0.0090499999999999
89,interaction,2.6,3333,500,181,0.0108
90,interaction,2.8,3333,100,173,0.01115
91,interaction,2.8,3333,200,172,0.01
