,compare,threshold,seed,human_seed,updates,utility
0,action_direct,0.1,1111.0,100,555,0.0063
1,action_direct,0.115,1111.0,100,555,0.0063
2,action_direct,0.13,1111.0,100,554,0.0063
3,action_direct,0.145,1111.0,100,459,0.0099
4,action_direct,0.16,1111.0,100,456,0.0109
5,action_direct,0.175,1111.0,100,452,0.0119
6,action_direct,0.19,1111.0,100,452,0.0119
7,action_direct,0.2,1111.0,100,383,0.0144
8,action_direct,0.205,1111.0,100,383,0.0144
9,action_direct,0.22,1111.0,100,381,0.0149
10,action_direct,0.235,1111.0,100,376,0.0165
11,action_direct,0.25,1111.0,100,376,0.0167
12,action_direct,0.265,1111.0,100,376,0.0167
13,action_direct,0.28,1111.0,100,297,0.0169
14,action_direct,0.295,1111.0,100,291,0.0170999999999999
15,action_direct,0.3,1111.0,100,288,0.0188
16,action_direct,0.31,1111.0,100,288,0.0188
17,action_direct,0.325,1111.0,100,288,0.0193999999999999
18,action_direct,0.34,1111.0,100,204,0.0209
19,action_direct,0.355,1111.0,100,201,0.0217
20,action_direct,0.37,1111.0,100,201,0.0229
21,action_direct,0.385,1111.0,100,198,0.0241
22,action_direct,0.4,1111.0,100,143,0.0318
23,action_direct,0.5,1111.0,100,94,0.0411
24,action_direct,0.6,1111.0,100,41,0.0559
25,action_direct,0.7,1111.0,100,25,0.0728
26,action_direct,0.8,1111.0,100,14,0.083
27,action_direct,0.9,1111.0,100,8,0.1036
28,action_direct,0.1,2222.0,100,553,0.0084
29,action_direct,0.115,2222.0,100,552,0.0084
30,action_direct,0.13,2222.0,100,550,0.009
31,action_direct,0.145,2222.0,100,453,0.0112
32,action_direct,0.16,2222.0,100,452,0.0114
33,action_direct,0.175,2222.0,100,446,0.0126
34,action_direct,0.19,2222.0,100,446,0.0126
35,action_direct,0.2,2222.0,100,363,0.0165
36,action_direct,0.205,2222.0,100,363,0.0165
37,action_direct,0.22,2222.0,100,359,0.0169
38,action_direct,0.235,2222.0,100,357,0.0171
39,action_direct,0.25,2222.0,100,356,0.0174
40,action_direct,0.265,2222.0,100,356,0.0174
41,action_direct,0.28,2222.0,100,260,0.0204
42,action_direct,0.295,2222.0,100,259,0.0193
43,action_direct,0.3,2222.0,100,250,0.0212
44,action_direct,0.31,2222.0,100,250,0.0212
45,action_direct,0.325,2222.0,100,249,0.0212
46,action_direct,0.34,2222.0,100,178,0.0301999999999999
47,action_direct,0.355,2222.0,100,178,0.0302999999999999
48,action_direct,0.37,2222.0,100,173,0.0335
49,action_direct,0.385,2222.0,100,172,0.0335
50,action_direct,0.4,2222.0,100,131,0.0363
51,action_direct,0.5,2222.0,100,78,0.0404
52,action_direct,0.6,2222.0,100,38,0.0511
53,action_direct,0.7,2222.0,100,22,0.0737
54,action_direct,0.8,2222.0,100,14,0.085
55,action_direct,0.9,2222.0,100,9,0.0768
56,action_direct,0.1,5555.0,100,588,0.0069
57,action_direct,0.115,5555.0,100,587,0.0071
58,action_direct,0.13,5555.0,100,586,0.0071
59,action_direct,0.145,5555.0,100,486,0.0091
60,action_direct,0.16,5555.0,100,484,0.0098
61,action_direct,0.175,5555.0,100,482,0.011
62,action_direct,0.19,5555.0,100,479,0.0113
63,action_direct,0.2,5555.0,100,390,0.0153999999999999
64,action_direct,0.205,5555.0,100,390,0.0153999999999999
65,action_direct,0.22,5555.0,100,389,0.0155
66,action_direct,0.235,5555.0,100,383,0.0194
