,compare,threshold,seed,human_seed,updates,utility
0,interaction,0.1,3333,100,187,0.0
1,interaction,0.1,3333,200,189,0.0
2,interaction,0.1,3333,300,189,0.0
3,interaction,0.1,3333,400,190,0.0
4,interaction,0.1,3333,500,200,0.0
5,interaction,0.2,3333,100,187,0.0
6,interaction,0.2,3333,200,189,0.0
7,interaction,0.2,3333,300,189,0.0
8,interaction,0.2,3333,400,190,0.0
9,interaction,0.2,3333,500,200,0.0
10,interaction,0.3,3333,100,187,0.0
11,interaction,0.3,3333,200,189,0.0
12,interaction,0.3,3333,300,189,0.0
13,interaction,0.3,3333,400,190,0.0
14,interaction,0.3,3333,500,200,0.0
15,interaction,0.4,3333,100,187,0.0
16,interaction,0.4,3333,200,189,0.0
17,interaction,0.4,3333,300,189,0.0
18,interaction,0.4,3333,400,190,0.0
19,interaction,0.4,3333,500,200,0.0
20,interaction,0.5,3333,100,187,0.0
21,interaction,0.5,3333,200,189,0.0
22,interaction,0.5,3333,300,189,0.0
23,interaction,0.5,3333,400,190,0.0
24,interaction,0.5,3333,500,200,0.0
25,interaction,0.6,3333,100,187,0.0
26,interaction,0.6,3333,200,189,0.0
27,interaction,0.6,3333,300,189,0.0
28,interaction,0.6,3333,400,190,0.0
29,interaction,0.6,3333,500,200,0.0
30,interaction,0.7,3333,100,187,0.0
31,interaction,0.7,3333,200,189,0.0
32,interaction,0.7,3333,300,189,0.0
33,interaction,0.7,3333,400,190,0.0
34,interaction,0.7,3333,500,200,0.0
35,interaction,0.8,3333,100,187,0.0
36,interaction,0.8,3333,200,189,0.0
37,interaction,0.8,3333,300,189,0.0
38,interaction,0.8,3333,400,190,0.0
39,interaction,0.8,3333,500,200,0.0
40,interaction,0.9,3333,100,187,0.0
41,interaction,0.9,3333,200,189,0.0
42,interaction,0.9,3333,300,189,0.0
43,interaction,0.9,3333,400,190,0.0
44,interaction,0.9,3333,500,200,0.0
45,interaction,1.0,3333,100,183,0.0005
46,interaction,1.0,3333,200,187,0.0006
47,interaction,1.0,3333,300,185,0.0005
48,interaction,1.0,3333,400,188,0.0009999999999999
49,interaction,1.0,3333,500,198,0.0004
50,interaction,1.2,3333,100,163,0.0045
51,interaction,1.2,3333,200,167,0.0058999999999999
52,interaction,1.2,3333,300,166,0.0051999999999999
53,interaction,1.2,3333,400,164,0.0054999999999999
54,interaction,1.2,3333,500,167,0.0052999999999999
55,interaction,1.4,3333,100,161,0.0047999999999999
56,interaction,1.4,3333,200,167,0.0063999999999999
57,interaction,1.4,3333,300,166,0.0053999999999999
58,interaction,1.4,3333,400,162,0.0058999999999999
59,interaction,1.4,3333,500,167,0.0053999999999999
60,interaction,1.6,3333,100,151,0.0053999999999999
61,interaction,1.6,3333,200,160,0.0062999999999999
62,interaction,1.6,3333,300,156,0.0056999999999999
63,interaction,1.6,3333,400,155,0.0062999999999999
64,interaction,1.6,3333,500,156,0.0059999999999999
65,interaction,1.8,3333,100,137,0.0073999999999999
66,interaction,1.8,3333,200,142,0.0068999999999999
67,interaction,1.8,3333,300,143,0.0073999999999999
68,interaction,1.8,3333,400,140,0.0073999999999999
69,interaction,1.8,3333,500,139,0.0076999999999999
70,interaction,2.0,3333,100,129,0.0081999999999999
71,interaction,2.0,3333,200,136,0.0079999999999999
72,interaction,2.0,3333,300,136,0.0078999999999999
73,interaction,2.0,3333,400,131,0.0082999999999999
74,interaction,2.0,3333,500,135,0.0084999999999999
75,interaction,2.2,3333,100,123,0.0092999999999999
76,interaction,2.2,3333,200,129,0.0091999999999999
77,interaction,2.2,3333,300,129,0.0095999999999999
78,interaction,2.2,3333,400,127,0.0103999999999999
79,interaction,2.2,3333,500,127,0.0095999999999999
80,interaction,2.4,3333,100,116,0.0096999999999999
81,interaction,2.4,3333,200,116,0.0099999999999999
82,interaction,2.4,3333,300,115,0.0102999999999999
83,interaction,2.4,3333,400,116,0.0106999999999999
84,interaction,2.4,3333,500,123,0.0107999999999999
85,interaction,2.6,3333,100,111,0.0108999999999999
86,interaction,2.6,3333,200,106,0.0104999999999999
87,interaction,2.6,3333,300,107,0.0104999999999999
88,interaction,2.6,3333,400,111,0.0113999999999999
89,interaction,2.6,3333,500,117,0.0128999999999999
90,interaction,2.8,3333,100,107,0.0116999999999999
91,interaction,2.8,3333,200,98,0.0116999999999999
92,interaction,2.8,3333,300,100,0.0107999999999999
93,interaction,2.8,3333,400,106,0.0105999999999999
94,interaction,2.8,3333,500,108,0.0127999999999999
95,interaction,3.0,3333,100,97,0.0116999999999999
96,interaction,3.0,3333,200,92,0.0117999999999999
97,interaction,3.0,3333,300,96,0.0111999999999999
98,interaction,3.0,3333,400,97,0.0115999999999999
99,interaction,3.0,3333,500,94,0.0127999999999999
100,interaction,3.2,3333,100,94,0.0118999999999999
101,interaction,3.2,3333,200,88,0.0123999999999999
102,interaction,3.2,3333,300,91,0.0127999999999999
103,interaction,3.2,3333,400,92,0.0116999999999999
104,interaction,3.2,3333,500,84,0.0134999999999999
105,interaction,3.4,3333,100,83,0.0123999999999999
106,interaction,3.4,3333,200,83,0.0123999999999999
107,interaction,3.4,3333,300,83,0.0125999999999999
108,interaction,3.4,3333,400,88,0.0127999999999999
109,interaction,3.4,3333,500,83,0.0137999999999999
110,interaction,3.6,3333,100,82,0.0134999999999999
111,interaction,3.6,3333,200,80,0.0125999999999999
112,interaction,3.6,3333,300,84,0.0123999999999999
113,interaction,3.6,3333,400,83,0.0130999999999999
114,interaction,3.6,3333,500,76,0.0141999999999999
115,interaction,3.8,3333,100,75,0.0135999999999999
116,interaction,3.8,3333,200,82,0.0140999999999999
117,interaction,3.8,3333,300,85,0.0135999999999999
118,interaction,3.8,3333,400,82,0.0139999999999999
119,interaction,3.8,3333,500,76,0.0139999999999999
120,interaction,4.0,3333,100,76,0.0134999999999999
121,interaction,4.0,3333,200,79,0.0148999999999999
122,interaction,4.0,3333,300,81,0.0129999999999999
123,interaction,4.0,3333,400,80,0.0143999999999999
124,interaction,4.0,3333,500,74,0.0144999999999999
125,interaction,4.2,3333,100,72,0.0144999999999999
126,interaction,4.2,3333,200,76,0.0162999999999999
127,interaction,4.2,3333,300,82,0.0140999999999999
128,interaction,4.2,3333,400,78,0.0149999999999999
129,interaction,4.2,3333,500,72,0.0140999999999999
130,interaction,4.4,3333,100,72,0.0156999999999999
131,interaction,4.4,3333,200,75,0.0149999999999999
132,interaction,4.4,3333,300,69,0.0141999999999999
133,interaction,4.4,3333,400,79,0.0154999999999999
134,interaction,4.4,3333,500,69,0.0149999999999999
135,interaction,4.6,3333,100,71,0.0171999999999999
136,interaction,4.6,3333,200,73,0.0161999999999999
137,interaction,4.6,3333,300,66,0.0156999999999999
138,interaction,4.6,3333,400,73,0.0172999999999999
139,interaction,4.6,3333,500,65,0.0167999999999999
140,interaction,4.8,3333,100,66,0.0160999999999999
141,interaction,4.8,3333,200,70,0.0175999999999999
142,interaction,4.8,3333,300,67,0.0165999999999999
143,interaction,4.8,3333,400,75,0.0181999999999999
144,interaction,4.8,3333,500,66,0.0189
145,interaction,5.0,3333,100,64,0.0167999999999999
146,interaction,5.0,3333,200,68,0.0191999999999999
147,interaction,5.0,3333,300,64,0.0167999999999999
148,interaction,5.0,3333,400,72,0.0185999999999999
149,interaction,5.0,3333,500,61,0.0160999999999999
150,interaction,10.0,3333,100,43,0.0257
151,interaction,10.0,3333,200,41,0.0267
152,interaction,10.0,3333,300,43,0.0272
153,interaction,10.0,3333,400,43,0.0278
154,interaction,10.0,3333,500,43,0.0256
155,interaction,15.0,3333,100,29,0.0351000000000001
156,interaction,15.0,3333,200,28,0.0352000000000001
157,interaction,15.0,3333,300,27,0.0399000000000002
158,interaction,15.0,3333,400,30,0.0376000000000001
159,interaction,15.0,3333,500,32,0.0352000000000001
160,interaction,20.0,3333,100,27,0.0385000000000001
161,interaction,20.0,3333,200,25,0.0412000000000002
162,interaction,20.0,3333,300,22,0.0408000000000002
163,interaction,20.0,3333,400,25,0.0396000000000001
164,interaction,20.0,3333,500,27,0.0408000000000001
165,interaction,25.0,3333,100,24,0.0395000000000002
166,interaction,25.0,3333,200,24,0.0425000000000002
167,interaction,25.0,3333,300,23,0.0430000000000002
168,interaction,25.0,3333,400,24,0.0425000000000002
169,interaction,25.0,3333,500,21,0.0439000000000002
170,interaction,30.0,3333,100,21,0.0426000000000002
171,interaction,30.0,3333,200,19,0.0514000000000003
172,interaction,30.0,3333,300,20,0.0485000000000002
173,interaction,30.0,3333,400,21,0.0465000000000003
174,interaction,30.0,3333,500,24,0.0518000000000003
175,interaction,35.0,3333,100,17,0.0517000000000003
176,interaction,35.0,3333,200,19,0.0556000000000003
177,interaction,35.0,3333,300,18,0.0519000000000003
178,interaction,35.0,3333,400,18,0.0529000000000003
179,interaction,35.0,3333,500,15,0.0514000000000003
180,interaction,40.0,3333,100,17,0.0538000000000003
181,interaction,40.0,3333,200,17,0.0572000000000004
182,interaction,40.0,3333,300,17,0.0577000000000002
183,interaction,40.0,3333,400,18,0.0516000000000003
184,interaction,40.0,3333,500,16,0.0498000000000002
185,interaction,45.0,3333,100,14,0.0540000000000003
186,interaction,45.0,3333,200,14,0.0561000000000003
187,interaction,45.0,3333,300,17,0.0545000000000003
188,interaction,45.0,3333,400,13,0.0645000000000003
189,interaction,45.0,3333,500,14,0.0534000000000003
