,compare,threshold,seed,human_seed,updates,utility
0,interaction,500,3333,100,0,0.14383327700000015
1,interaction,500,3333,200,0,0.13891662299999977
2,interaction,500,3333,300,0,0.143166608
3,interaction,500,3333,400,0,0.1550833030000003
4,interaction,500,3333,500,0,0.16391662499999993
5,interaction,500,3333,600,0,0.14074994899999996
6,interaction,500,3333,700,0,0.151666629
7,interaction,500,3333,800,0,0.1534166269999999
8,interaction,500,3333,900,0,0.15766661599999984
9,interaction,500,3333,1000,0,0.17024995300000037
