,compare,threshold,seed,human_seed,updates,utility
0,interaction,500,3333,100,0,0.14429999999999898
1,interaction,500,3333,200,0,0.1544999999999988
2,interaction,500,3333,300,0,0.14859999999999862
3,interaction,500,3333,400,0,0.15169999999999903
4,interaction,500,3333,500,0,0.14539999999999906
5,interaction,500,3333,600,0,0.15389999999999882
6,interaction,500,3333,700,0,0.14489999999999895
7,interaction,500,3333,800,0,0.13869999999999888
8,interaction,500,3333,900,0,0.144699999999999
9,interaction,500,3333,1000,0,0.14869999999999894
